EU#Spain#Barcelona#41 23 N#02 09 E
NA#Nebraska#Cotesfield#41 21 N#98 37 O
SA#Ecuador#Quiroz#00 16 S#77 10 O
OC#Samoa#Alao#14 16 S#-170 33 O
AF#Togo#Abakouande#09 24 N#01 15 E
AS#Saudi Arabia#Abu Maragh#21 31 N#39 47 E
#Nepal#Dhundras#28 56 N#81 05 E
##Gazeh#36 40 N#55 52 E
AS#Pakistan##33 36 N#73 16 E
AS#India#Dharmgarh#-30 40 N#76 45 E
AS#India#Achra#16 13 N#-73 28 E
#Bangladesh#Betmanda#90 04 N#89 58 E
AS#Laos#Ban Ban#19 38 N#103 33 E
AS#Philippines#Manila#14 36 N#120 58 E
AS#China#Changxin#26 04 N#99 24 E
#Chad#Adil#09 54 N#16 03 E
AF#Camerun#Abang#03 48 N#11 18 E
AF#Niger#Losso Goungou#13 31 N#02 02 E
AF#Sudan#Saqadi#17 06 N#33 39 E
AF#Congo#Kipele#03 46 S#12 28 E
AF#Uganda#Katerema#00 38 N#34 05 E
AF#Tanzania#Mkutano#07 19 S#31 42 E
#Zimbaue#Ngome#19 42 S#31 49 E
AF#Botsuana#Telekele#24 01 S#25 49 E
#Zambia#Pungula#13 11 S#27 27 E
#Vanuatu#Koimarama#13 54 S#7 27 E
OC#Australia#Albion#27 25 S#153 02 E
#Australia#Canberra#35 17 S#149 07 E
OC#Australia#Melbourne#37 48 S#144 57 E
OC#Papua Nueva Guinea#Ibaradoku#09 30 S#147 54 E
OC#Samoa#Patamea#13 31 S#172 18 O
OC#Tonga#Fonginonga#19 45 S#174 20 O
OC#Australia#Adelaide#34 56 S#138 36 E
#Australia#Darwin#12 27 S#130 50 E
AF#Vanuatu##13 54 S#30 50 E
OC#Australia#Perth#41 34 S#147 10 E
EU#France#Paris#48 51 N#02 20 E
EU#Belgium#Brussels#50 51 N#04 20 E
#Germany#Berlin#52 31 N#13 24 E
EU#Denmark#Aars#56 48 N#09 30 E
EU#Spain#Sagra#38 49 N#0 04 O
EU#Spain#Torrevieja#37 59 N#0 41 O
EU#Spain#El Rodriguillo#38 22 N#1 3 O
EU#Spain#Pego#38 51 N#7 8 O
EU#Spain#Abejuela#39 54 N#0 53 O
EU#Spain#Agres#38 47 N#2 31 O
#Vanuatu#Koimarama#13 54 S#167 28 E
#Australia#Canberra#35 17 S#149 07 E
OC#Australia#Melbourne#37 48 S#144 57 E
OC#Papua Nueva Guinea#Ibaradoku#09 30 S#147 54 E
OC#Samoa#Patamea#13 31 S#172 18 O
OC#Tonga#Fonginonga#19 45 S#174 20 O
OC#Australia#Adelaide#34 56 S#138 36 E
#Australia#Darwin#12 27 S#130 50 E
OC#Australia#Perth#41 34 S#147 10 E
EU#France#Paris#48 51 N#02 20 E
